,text,neg,neu,pos,compound
3330,"In today’s world when everybody is seeking and trying to find modern solutions to #sustainability, Madhukar Swayambhu has cracked the perfect solution that brings the best and most effective #sustainable #development plans. His secret mantra? Linking the #economy with #ecology. pic.twitter.com/9I00pjB8i9",0.0,0.702,0.298,0.9359
1915,"We are delighted to share with you that Birla Century Plant has received a Silver Medal for the INDIA GREEN MANUFACTURING CHALLENGE. This award recognises #BirlaCentury for its actions & measures taken in building & ensuring a #sustainable tomorrow.
#sustainability #greenindustry pic.twitter.com/E4a08M4dN9",0.0,0.663,0.337,0.9353
11096,"#cerlos #sto #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale
An amazing project in which there are great prospects. I think that soon CERLOS will implement its strategic plans. CERLOS is aproject for a great futur pic.twitter.com/MbpFyYhhSy",0.0,0.699,0.301,0.9349
7402,"Relax your mind and get ready for the day ahead by going for a quick cycle! It's provides you with loads of mental health benefits, and helps improve your fitness! 🚴
 http://ow.ly/5fXx50z144j 
#mindfuldelivery #logistics #deliveryservice #london #sustainable #sustainability  pic.twitter.com/9qGhcaFWg6",0.0,0.657,0.343,0.9347
6519,"Happy #EarthDay2020! Today we talk about ways how we can celebrate and save our natural environment. Many brands in #print, #packaging and #label industries implement #environmentally #sustainable solutions. #EarthDay50 #environment #Sustainability #Recycle #GreenEnergy pic.twitter.com/QJ0q48Nenx",0.0,0.658,0.342,0.9336
7693,"last detail of the week: a tiered sleeve 🤍 happy almost easter to those who celebrate! stay healthy and happy xx -Fashiondex 
.
. 
.
.
.
#fashiondex #clothes #fashion #sustainability #sustainablefashion #forum #fairtrade #organic #natural #sustainable #eco pic.twitter.com/4xZmMGc7nX",0.0,0.665,0.335,0.9336
5214,"Amazing! Totally love this! 

50 years off-grid: architect-maker paradise amid #NorCal #redwoods
 https://youtu.be/2qcsWajivnI  via @YouTube
#ecology #environment #Sustainability #sustainableliving #offthegrid #trees #architecture #sustainable #land",0.0,0.616,0.384,0.9334
8870,We're committed to promoting #sustainable development and profitable growth. Our goal is to improve the quality of human life with our corporate activities. We want to support our customers as they strive to hit their #sustainability targets. Learn more:  http://km.social/gM0  pic.twitter.com/YbIkGHhUkW,0.0,0.667,0.333,0.9325
12248,We're committed to promoting #sustainable development and profitable growth. Our goal is to improve the quality of human life with our corporate activities. We want to support our customers as they strive to hit their #sustainability targets. Learn more:  http://km.social/gG1  pic.twitter.com/XBJhGmmua2,0.0,0.667,0.333,0.9325
13776,We're committed to promoting #sustainable development and profitable growth. Our goal is to improve the quality of human life with our corporate activities. We want to support our customers as they strive to hit their #sustainability targets. Learn more:  http://km.social/gDR  pic.twitter.com/DffZv8CHRd,0.0,0.667,0.333,0.9325
9230,We're committed to promoting #sustainable development and profitable growth. Our goal is to improve the quality of human life with our corporate activities. We want to support our customers as they strive to hit their #sustainability targets. Learn more:  http://km.social/gLw  pic.twitter.com/AoriiVSVuw,0.0,0.667,0.333,0.9325
14377,We're committed to promoting #sustainable development and profitable growth. Our goal is to improve the quality of human life with our corporate activities. We want to support our customers as they strive to hit their #sustainability targets. Learn more:  http://km.social/gD2  pic.twitter.com/QUbyiEB4a3,0.0,0.667,0.333,0.9325
13051,"#cerlos #IEO #STO  #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale
The platform increases the opportunity to invest in digital assets and, thanks to good work of nice traders make a profit http://www.cerlos.io ",0.0,0.636,0.364,0.9325
768,"#WorldOceansDay holds great significance for us, and the role oceans play in everyday life. Let's inspire action to protect the sustainable use of marine resources for our future generation.

#WorldOceansDay #ocean #nature #sustainability #savetheplanet #sea
#sustainable #beach pic.twitter.com/lemEx1mu27",0.0,0.689,0.311,0.9313
11378,"The solid team, the brilliant idea and its realization, is the key to the success and growth of this company. 
Investors can be confident in their expectations&enjoy 
 #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.682,0.318,0.9313
6691,"A CLEANER PLANET, A GREENER #FUTURE
It is our responsibility to ensure a better tomorrow. 
#Sustainable choices are simple, let us pledge to commit. 

HAPPY EARTH DAY 2020! 

#sustainability #ClimateChange #renewableenergy #startup #EarthDay #EarthDay2020 #EarthDayAtHome pic.twitter.com/RYEj7JDpUp",0.0,0.653,0.347,0.9307
9935,I hope everyone is enthusiastic in participating in this project and I hope people can better understand the world of crypto to achieve a better future. #cerlos #IEO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale,0.0,0.67,0.33,0.93
12613,"#CERLOS products are manufactured in an environmentally friendly way and low-cost, low-energy process turns wood fiber and agricultural
The best solution for environmentally friendly building materials worth a trillion dollars
#sto #BuildingMaterials #Sustainability #Sustainable",0.0,0.654,0.346,0.93
6512,"This #EarthDay and #WorldBookDay, we are happy to share the books that inspire our #sustainability team. See our latest blog and join the celebration by commenting with your favorite #sustainable read. 
 http://ms.spr.ly/6015Tg8IT  pic.twitter.com/cqTrxwNFY7",0.0,0.654,0.346,0.93
1397,"Protect the pure jewel that adds beauty and serenity to our lives.
Mukesh Chandra & Son's wishes you Happy World Environment Day..!!
#MCSjewels #mukeshchandraandsons #environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen pic.twitter.com/Grz1JNSHYm",0.0,0.654,0.346,0.9298
2603,Hey @aesopskincare! We love your products and always buy this hand cream👇But wondered if you had a more #sustainable solution for refills? Thanks 🙏🏼 #circulareconomy #Sustainability  pic.twitter.com/IJmtOqISkl,0.0,0.616,0.384,0.929
12161,"Great project. We develop together with Your project, develop and support it. We are happy to participate in this project. It's a very good idea. #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale",0.0,0.655,0.345,0.9286
13348,"Thanks for the tag @baby_led_eating! 🌻🌻⁠
We're so glad you and your little ones are enjoying using our eco friendly products!
-⁠
-⁠
#sustainable #ecofriendly #green #environment #earth #globalwarming #sustainability #ocean #savetheplanet #eco #zerowaste #recycle #lunchbox pic.twitter.com/2IWYzLiTjP",0.0,0.707,0.293,0.9285
6803,"The Veto ear crawlers are the perfect ear candy accessory. Best dressed up, or down to achieve an a bold elegant look.⁠
.⁠
.⁠
.⁠
#cultureddiamonds #shinedifferent #labgrowndiamonds #sustainability #sustainable #greenfashion pic.twitter.com/NXJPIEO4Fm",0.0,0.665,0.335,0.9274
11343,"Take a look at the company with a magnificent and exciting future Immediately felt the professionalism of the developers is very pleased and gives confidence
#IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.695,0.305,0.9273
9547,"#cerlos is a good project. This project must be success because it has a great team spirit.i invite to everyone join this project. website :  https://cerlos.io/ 
#cerlos #IEO #STO #buildingmaterials #sustainable
#sustainability #Crowdsale #Bitcoin #Blockchain #ETH #TokenSale.",0.0,0.667,0.333,0.926
5145,"As we are staying home, it is a great time to evaluate our habits and implement better ones that make us happy, healthy, and #sustainable. 

#StayHome #Covid_19 #lockdown #Sustainability",0.0,0.642,0.358,0.9246
2287,"We wish you a amazing weekend and to cheer you up! Here to you the Free post weekend. 
Ends Sunday at midnight

 http://Luxriosa.com 
#ethical #sustainable #ethicalfashion #sustainablefashion #ecofriendly #fashion #slowfashion #handmade #sustainability #organic #ecofashion pic.twitter.com/kKasMoTUDe",0.0,0.691,0.309,0.9245
10808,"My pleasure, @gomi_design ! Followers, who’s excited for #sustainable #chargers by these awesome guys?! I sure am! #Sustainability #recycle #amwriting https://twitter.com/gomi_design/status/1240302255062032384 …",0.0,0.529,0.471,0.9243
11582,"@Moxy_CERLOS 
I'm proud to be in this company hopefully this project successful, more advance, more rapidly and growing Fore the company progress
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.676,0.324,0.9241
11787,"I'm proud to be in this company hopefully this project successful, more advance, more rapidly and growing Fore the company progress
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://twitter.com/Moxy_CERLOS/status/1237047477058048004 …",0.0,0.676,0.324,0.9241
3461,"""today, more than ever, there is a need - and an opportunity - to rebuild a #sustainable market system, capable of generating value, positive #impact and profit at the same time"": #RePLegalimpact on @lexology
#sustainability @cliffprior @gorgikrlev @MonicaDePaoli1 @mpalazzi",0.0,0.677,0.323,0.9231
14539,"The excellent company, set of the profitable ideas, support and maximizing business for all. I am happy with everything!#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale https://twitter.com/Moxy_CERLOS/status/1229360166354681857 …",0.0,0.67,0.33,0.923
6194,"Thank you to everyone who tuned in to watch our @ftvtornews interview on Wednesday; our team had a great time sharing the vision within our company and the benefits of going green! 
#GoGreen #Sustainability #ecofriendly #pollutionfree #sustainable #sustainableliving #plasticfree pic.twitter.com/Eq355Hl4fh",0.0,0.704,0.296,0.923
11960,"@Moxy_CERLOS 
Advanced technologies and a professional team. I advise everyone this great success project.Very promising project 
#cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.634,0.366,0.9228
11574,"@Moxy_CERLOS

Advanced technologies and a professional team. I advise everyone this great success project.Very promising project #cerlos #IEO #STO #BuildingMaterials #Sustainability #Sustainable #Crowdsale #Bitcoin

￼

#Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.634,0.366,0.9228
9898,"In this project for a long time. I like everything. Very interesting and promising project. I am glad that there is such an opportunity to participate in it.
#IEO #STO #buildingmaterials #sustainable #sustainability #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale",0.0,0.692,0.308,0.9225
14687,"Do you wanna know how you can become an ecowarrior super easily? 
I selected for you the best #sustainable apps to help you through your transition. 👇
 http://bit.ly/38GqDCh 
#sustainability",0.0,0.635,0.365,0.9217
6592,"🌎 Happy Earth Day, Fam! Love the Earth and she loves you back! 🌎
#EarthDay2020
#EnjoyHigherCulture
#earth #nature #ecofriendly #love #happyearthday #recycle #gogreen #earthdayeveryday #environment #green #sustainable #motherearth #sustainability  pic.twitter.com/tJLlUONQPV",0.0,0.672,0.328,0.9214
11953,"Our special guests from the #nanotech and #sustainability sectors are giving GREAT #input about how to shape our new #international #hub for #sustainable #nanofabrication. Thanks to all who are joining us in #Brussels & beyond! 👍🇪🇺🌍
#H2020 #collaboration #nanotech #networking pic.twitter.com/HKM9wlmJwa",0.0,0.733,0.267,0.9205
327,"Let us give our coming generations a healthier and happier environment to have a beautiful life, Best wishes on World Environment Day.

#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen #earth #green #recycle pic.twitter.com/OSwPDDgmz3",0.0,0.689,0.311,0.9201
282,"Let us give our coming generations a healthier and happier environment to have a beautiful life… Best wishes on World Environment Day.

#EnvironmentDay
#environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #zerowaste #sustainable #gogreen #earth #green pic.twitter.com/JD7opP1CMc",0.0,0.689,0.311,0.9201
5796,"Get swept away with these beautiful; Veto Multi-Coloured Elongated Earrings. With precious stones gently cascading down like petals.⁠
.⁠
.⁠
.⁠
#cultureddiamonds #shinedifferent #labgrowndiamonds #sustainability #sustainable #greenfashion pic.twitter.com/cQGkP1LmUp",0.0,0.647,0.353,0.9201
