,0,1,2,3,4,5,6,7,8,9
52,"[""Terrazze dell'Etna""]",['Red still'],['2011'],['\nDOC Etna Rosso\n'],['Sicily'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 25.44'],['€ 24.20']
53,['Felline'],['Red still'],['2017'],['\nDOC Primitivo di Manduria\n'],['Apulia'],['100% '],['15.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 15.23'],['€ 12.90']
54,['Montalbera'],['Red still'],['2013'],"['\n', '\n']",['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 25.50'],['€ 21.68']
55,['Marziano Abbona'],['Red still'],['2018'],['\nDOCG Dolcetto di Dogliani\n'],['Piedmont'],['100% '],['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.51'],['€ 16.10']
56,['Le Caniette Azienda Agricola'],['Red organic still'],['2015'],['\nDOC Rosso Piceno Superiore\n'],['Marche'],"['70% ', ', 30% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.48'],['€ 15.86']
57,['San Felice'],['Red still'],['2015'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"['50% ', ', 45% ', ', 5% ']",['13.50% by volume'],"['0,75 l Standard']",['Price\xa0€ 30.29'],['€ 24.50']
58,['Tenuta di Trinoro'],['Red still'],['2017'],['\nIGT Toscano o Toscana\n'],['Tuscany'],"['42% ', ', 14% ', ', 40% ', ', 4% ']",['15.00% by volume'],"['0,75 l Standard']",,['€ 27.50']
59,['Riondo'],['Red still'],['2015'],['\nDOCG Amarone della Valpolicella\n'],['Veneto'],"[', ', ', ']",['15.00% by volume'],"['0,75 l Standard']",,['€ 18.39']
60,['Borgo Salcetino (Livon)'],['Red still'],['2017'],['\nDOCG Chianti Classico\n'],['Tuscany'],"['5% ', ', 95% ']",['13.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 14.09'],['€ 10.98']
61,['Guado al Melo'],['Red still'],['2016'],"['\n', '\n']",['Tuscany'],"['80% ', ', 20% ']",['14.00% by volume'],"['0,75 l Standard']",['Price\xa0€ 17.31'],['€ 14.30']
